,device,sections,window_size,threshold,accuracy,TP,FP,TN,FN,TPR,FPR
0,"[0, 1, 3, 4]",all,2,0.0,0.705,799,447,412,60,0.93,0.52
1,"[0, 1, 3, 4]",all,2,0.1,0.762,784,334,525,75,0.913,0.389
2,"[0, 1, 3, 4]",all,2,0.2,0.816,768,225,634,91,0.894,0.262
3,"[0, 1, 3, 4]",all,2,0.30000000000000004,0.849,755,155,704,104,0.879,0.18
4,"[0, 1, 3, 4]",all,2,0.4,0.868,740,107,752,119,0.861,0.125
5,"[0, 1, 3, 4]",all,2,0.5,0.866,707,79,780,152,0.823,0.092
6,"[0, 1, 3, 4]",all,2,0.6000000000000001,0.852,658,54,805,201,0.766,0.063
7,"[0, 1, 3, 4]",all,2,0.7000000000000001,0.813,578,41,818,281,0.673,0.048
8,"[0, 1, 3, 4]",all,2,0.8,0.764,487,34,825,372,0.567,0.04
9,"[0, 1, 3, 4]",all,2,0.9,0.707,382,27,832,477,0.445,0.031
10,"[0, 1, 3, 4]",all,2,1.0,0.654,282,18,841,577,0.328,0.021
11,"[0, 1, 3, 4]",all,2,1.1,0.605,197,16,843,662,0.229,0.019
12,"[0, 1, 3, 4]",all,2,1.2000000000000002,0.574,142,15,844,717,0.165,0.017
13,"[0, 1, 3, 4]",all,2,1.3,0.551,103,15,844,756,0.12,0.017
14,"[0, 1, 3, 4]",all,2,1.4000000000000001,0.532,68,13,846,791,0.079,0.015
15,"[0, 1, 3, 4]",all,2,1.5,0.524,53,12,847,806,0.062,0.014
16,"[0, 1, 3, 4]",all,2,1.6,0.513,33,11,848,826,0.038,0.013
17,"[0, 1, 3, 4]",all,2,1.7000000000000002,0.51,27,10,849,832,0.031,0.012
18,"[0, 1, 3, 4]",all,2,1.8,0.507,21,9,850,838,0.024,0.01
19,"[0, 1, 3, 4]",all,2,1.9000000000000001,0.506,18,7,852,841,0.021,0.008
20,"[0, 1, 3, 4]",all,2,2.0,0.505,13,5,854,846,0.015,0.006
21,"[0, 1, 3, 4]",all,2,2.1,0.503,10,4,855,849,0.012,0.005
22,"[0, 1, 3, 4]",all,2,2.2,0.502,7,4,855,852,0.008,0.005
23,"[0, 1, 3, 4]",all,2,2.3000000000000003,0.5,4,4,855,855,0.005,0.005
24,"[0, 1, 3, 4]",all,2,2.4000000000000004,0.499,2,4,855,857,0.002,0.005
25,"[0, 1, 3, 4]",all,2,2.5,0.498,1,4,855,858,0.001,0.005
26,"[0, 1, 3, 4]",all,2,2.6,0.498,1,4,855,858,0.001,0.005
27,"[0, 1, 3, 4]",all,2,2.7,0.499,1,3,856,858,0.001,0.003
28,"[0, 1, 3, 4]",all,2,2.8000000000000003,0.499,1,3,856,858,0.001,0.003
29,"[0, 1, 3, 4]",all,2,2.9000000000000004,0.499,1,3,856,858,0.001,0.003
